number,grade,module,week,question_stem,choice,correct_answer,
469,8,1,2,19. G分带核型的D组染色体包括：(2.0分),A.21-22染色体 B.4-5号染色体 C.6-12号染色体 D.13-15号染色体,D.13-15号染色体,
472,8,1,2,22. 小儿胸椎后凸出现的时间为： (2.0分),A.8月会爬时 B.3个月会抬头时 C.6个月会坐时 D.出生后即出现 E.1岁会走时,C.6个月会坐时,
477,8,1,2,27. 根据着丝粒位置，人类染色体不包括： (2.0分),A.近端着丝粒染色体 B.亚中着丝粒染色体   C.中着丝粒染色体 D.端着丝粒染色体,D.端着丝粒染色体,
478,8,1,2,28. 电泳过程，DNA样品的迁移方向为： (2.0分),A.从上到下 B.从负极到正极 C.从正极到负极 D.从左到右,B.从负极到正极,
479,8,1,2,29. 描述超声图像特征的四个参数不包括(2.0分),A.灰度  B.亮度  C.反射度  D.对比度  E.分辨率,C.反射度 ,
480,8,1,2,"30. 在本周的PBL学习案例中, 贾贝贝 was born with microcephaly, micrognathia, and microtia. The type of morphogenesis that these exemplify is (2.0分)",A.Disruption  B.Dysplasia C.Malformation D.Deformation E.Normal,C.Malformation,
481,8,1,2,31. 以下哪一项是新生儿期的特征？ (2.0分),A.经历了依赖于母体生存向独立生存的巨大变化，发病率和死亡率均很高 B.体格生长速度相对婴儿期较慢 C.容易受外界不良因素影响而发生畸形、发育不全、生长迟缓 D.生理功能已逐渐成熟，不会再出现胎儿循环 E.新生儿的免疫功能发育不成熟，尤其是细胞免疫功能,A.经历了依赖于母体生存向独立生存的巨大变化，发病率和死亡率均很高,
484,8,1,2,34. 下列关于青春期发育的知识正确的是：(2.0分),A.女孩进入青春发育的标志为初潮 B.青春期发育时一般先有骨龄的加速，然后再有线性生长的加速 C.男孩进入青春期发育的标志为喉结突出 D.男孩生长发育第二高峰比女孩晚1岁 E.神经内分泌调节趋于稳定 ,B.青春期发育时一般先有骨龄的加速，然后再有线性生长的加速,
485,8,1,2,35. 以下有关性决定和性分化的叙述错误的是：(2.0分),A.关键时刻无AMH或睾酮作用，则内生殖管道分化为男性结构 B.关键的调控基因需在"正确"的关键时刻准确合适的表达才能使性分化正确进行。 C.胚胎的性决定和性分化具有关键的时间窗 D.45XO综合征是最常见的性染色体畸变综合征 E.性分化发育异常的诊断过程是性别鉴定和病因诊断的过程 ,A.关键时刻无AMH或睾酮作用，则内生殖管道分化为男性结构,
486,8,1,2,36. 以下对核酸分子量标准描述不正确的是： (2.0分),A.用做对比来检测琼脂糖凝胶电泳的PCR产物长度  B.是一组分子量大小已知的DNA片段混合物     C.可直接电泳，使用方便 D.分子量精确，每个条带间隔100bp,D.分子量精确，每个条带间隔100bp,
487,8,1,2,37. 下列关于胎儿期的描述，错误的是(2.0分),A.预防感染是预防胎儿畸形、先天发育不全的关键保健措施之一 B.妊娠3-8周是胚胎细胞高度分化期，极易受环境不良因素干扰而导致流产、死胎、畸形 C.胎儿期从受精卵形成至胎儿娩出，可以分为3个阶段，其中妊娠早期为胎龄16周之前 D.至28周时，胎儿肺泡发育基本完善，已具有气体交换功能 E.孕期经常饮酒可能导致胎儿中枢神经系统发育障碍、颜面畸形和生长迟缓,C.胎儿期从受精卵形成至胎儿娩出，可以分为3个阶段，其中妊娠早期为胎龄16周之前,
488,8,1,2,38. 超声诊断仪的显示模式等哪项描述是错误的？(2.0分),A.A超回声波幅的高低、多少反映界面的声阻抗差异大小 B.M型是最早用于心脏检查的 C.D型测速原理和海军声纳是一样的 D.B超就是超声波的统称 E.1842年Christian Joham Doppler观察天体时发现多普勒效应,D.B超就是超声波的统称,
490,8,1,2,"40. 一刚出生的新生儿，出生体重2.3Kg,男孩， 出生时皮肤红，有少许脱皮，头发分条清楚，耳廓软骨发育好、耳舟成形，指趾甲超过指、趾端，足纹遍及整个足底，乳腺结节较大>4mm,阴囊皱褶多。该新生儿最可能是： (2.0分)",A.早产，低出生体重儿 B.正常足月儿 C.过期产儿 D.早产儿，大于胎龄儿 E.足月小样儿(小于胎龄儿),E.足月小样儿(小于胎龄儿),
491,8,1,2,41. DNA载样缓冲液的性能不包括： (2.0分),A.溴酚蓝的迁移位置大约相当于70 bp左右的线性DNA分子的迁移位置。 B.含有的溴酚蓝（某些还含有二甲苯青），示踪DNA分子在凝胶中的电泳迁移。 C.可以使待电泳样品沉在点样孔底部，避免样品漂浮。   D.紫外光照射凝胶会增加DNA条带的亮度。,D.紫外光照射凝胶会增加DNA条带的亮度。,
492,8,1,2,42. 有关婴儿期的描述，哪一项是正确的  （B）(2.0分),A.此期不包括新生儿期， B.不易发生营养性疾病 C.是小儿生长发育最迅速的时期 D.来自母体的免疫抗体尚未完全消失，相对此期感染性疾病较少 E.免疫性疾病如肾炎、肾病等有增多趋势 ,C.是小儿生长发育最迅速的时期,
493,8,1,2,43. 一婴儿出生时孕28周，出生体重为750克。考虑该新生儿为(2.0分),A.低出生体重儿，适于胎龄儿 B.低出生体重儿，小于胎龄儿 C.极低出生体重儿，小于胎龄儿 D.极低出生体重儿，适于胎龄儿 E.极低出生体重儿，大于胎龄儿,C.极低出生体重儿，小于胎龄儿,
494,8,1,2,44. 下列那一项描述错误? D(2.0分),"A.传播方向和振动方向相互垂直的称横波 B.波的传播方向与质点振动方向一致的,称为纵波 C.振动质点在媒质内传播产生周期性疏密波称声波 D.声波可以在真空中传播 E.光波可以在真空中传播",D.声波可以在真空中传播,
495,8,1,2,45. 生理性体重下降一般发生在(2.0分),A.出生后第1周内 B.出生后第3周内 C.出生后第2周内 D.出生后第4周内 E.出生后1个月,A.出生后第1周内,
496,8,1,2,46. 了解儿童的生长速度及其生长发育趋势，最直观的评价方法是(2.0分),A.生长发育图评价法 B.均值离差法 C.百分位数法 D.标准差的离差法 E.中位数法,A.生长发育图评价法,
498,8,1,2,48. If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___. (2.0分),A.2/3 B.1/4 C.1/2 D.3/4 E.1,E.1,
499,8,1,2,49. 一健康女婴，营养状况好，测量头围42cm，前囟1.5cm×1.2cm，身长65cm，勉强扶坐，出牙1颗，最可能的年龄是 (2.0分),A.7~8个月 B.5~6个月 C.3~4个月 D.8~9个月 E.10~12个月,B.5~6个月,
500,8,1,2,50. 下列关于婴幼儿骨骼和牙齿发育的描述，正确的是： (2.0分),A.乳牙一般在4-10个月开始萌出 B.后囟在生后1-1.5岁闭合 C.生后6个月出现腰椎前凸 D.前囟在生后6-8周闭合 E.儿童在8岁左右开始出第一颗恒牙,A.乳牙一般在4-10个月开始萌出,
829,9,1,2,29. 这个女孩，下列反射哪项应该已经不存在 (2.0分),A.拥抱反射 B.膝反射 C.跟腱反射 D.腹壁反射 E.巴氏征阳性,A.拥抱反射,
833,9,1,2,33. 我国围生期的定义是(2.0分),A.胎龄满28周至出生后7天内 B.胎龄满40周至出生后7天内 C.胎龄满28周至出生后2周内 D.胎龄满40周至出生后2周内 E.胎龄满28 至出生后28天内,A.胎龄满28周至出生后7天内,
845,9,1,2,"45. /* Generator: eWebEditor */p.MsoNormal, li.MsoNormal, div.MsoNormal {margin:0cm;margin-bottom:.0001pt;text-align:justify;text-justify:inter-ideograph;font-size:10.5pt;font-family:Calibri;}div.Section1 {page:Section1;}The pedigree shows your patient, Marsha, who is affected with a single gene, autosomal dominant disorder that shows 80% penetrance, and her two children, Michael and Marcus. Michael is also clinically affected with the disorder. The probability that Marcus will have the clinical signs with the disorder is closet to which of the following choices?  ?(2.0分)",A.20% B.40% C.50% D.80% E.100%,B.40%,
847,9,1,2,47. A severe birth defect syndrome called retinoic acid embryopathy (OMIM: 242440) is caused by medications such as isotretinoin (Accutane) when taken by pregnant women for treatment of acne. Retinoic acid and steroid hormones are group I signals that cross the cell membrane to interact with cytosolic or nuclear receptors. Which of the structural domains of such receptors would interact with retinoic acid?   (2.0分),A.Response elements B.Antirepressor domains  C.Transcription-activating domains D.Ligand-binding domains  E.DNA-binding domains ,D.Ligand-binding domains ,
1220,10,1,2,4. 以下不是46 XX DSD （性分化异常）病因的为：(2.5分),A.分泌雄激素的肿瘤 B.母亲高雄激素血症 C.先天性肾上腺皮质增生症 21羟化酶缺乏 D.雄激素受体不敏感综合征 E.以上都不是,D.雄激素受体不敏感综合征,
1222,10,1,2,6. MRI成像基础是：(2.5分),A.组织间吸收系数的差别   B.组织间密度高低的差别   C.组织间形态的差别   D.组织间驰豫时间的差别,D.组织间驰豫时间的差别,
1224,10,1,2,8. 已知某核的旋磁比，今欲使其发生磁共振，则外加磁场B0和射频脉冲RF的关系是：(2.5分),A.只有当B0=1T，才能发生磁共振     B.只有当B0=2T，才能发生磁共振   C.只有当B0=3T，才能发生磁共振   D.只要B0与满足拉莫尔公式，就可能发生磁共振   E.只要B0与满足拉莫尔公式，就一定发生磁共振,D.只要B0与满足拉莫尔公式，就可能发生磁共振  ,
1226,10,1,2,10. 有关小儿年龄分期，以下哪一项是错误的？ (2.5分),A.新生儿期：自胎儿娩出脐带结扎至28天的时期。  B.婴儿期；自满28天到1周岁之前为婴儿期。 C.幼儿期：自1岁至满3周岁之前为幼儿期。 D.青春期：青春期年龄范围一般从11岁～20岁，女孩的青春期开始年龄和结束年龄都比男孩早2年左右。 E.根据不同年龄及其生理特点，分为7个期。,B.婴儿期；自满28天到1周岁之前为婴儿期。,
1231,10,1,2,15. 一12月龄男孩，前来进行儿童健康体检，在体格测量后，进行的体格发育评价不包括(2.5分),A.骨龄评价 B.发育水平评价 C.生长速度评价 D.体型匀称性评价 E.身材匀称度评价,A.骨龄评价,
1234,10,1,2,18. SSCP的电泳结果应分析哪种形态的DNA： (2.5分),A.单链  B.双链  C.三链 D.单链和双链,A.单链 ,
1235,10,1,2,19. 下哪项不能作为判断G带制备好坏的标准： (2.5分),A.细胞完整，轮廓清晰，染色体在同一平面上均匀分布 B.染色体形态和分散良好，无重叠现象，即使染色体个别重叠，也要能明显辨别 C.所观察的染色体长短大致一样，处于同一有丝分裂时期 D.在所观察的染色体周围有多个散在的染色体,D.在所观察的染色体周围有多个散在的染色体,
1236,10,1,2,20. PCR产物大小由下列哪种因素决定： (2.5分),A.模板量 B.退火温度 C.引物序列 D.变性温度,C.引物序列,
1237,10,1,2,21. 若发现视野没有分裂相，二个主要原因有： (2.5分),A.秋水仙素浓度或处理时间不合适  B.胰酶消化时间过长    C.Giemsa染色时间不够 D.低渗时间太短,A.秋水仙素浓度或处理时间不合适 ,
1244,10,1,2,28. Which is true? Transcription factors（转录因子）:(2.5分),A.Are RNA sequences that interfere（干扰） with translation in the ribosomes B.Their only function is to switch off（关闭） genes in development C.When mutated in Drosophila body segments（果蝇的体节） may NOT be completely reorganized D.Are not involved in defects of laterality（偏侧化） E.Include genes that have a zinc finger motif（锌指基序）,E.Include genes that have a zinc finger motif（锌指基序）,
1250,10,1,2,34. 超声波安全标准那条描述不正确？(2.5分),"A.人体紧要部位超声强度限定值《FDA规定》 B.超声生物效应与安全指标Ispta有关 C.国际电工委员会（ICE1157-92）规定胎Ispta<1Mw/cm2  D.Ispta的概念:脉冲能量集中在T2时间段内,脉冲周期时间为T1,脉冲能量被T1 平均称为Ispta， E.器官的Ispta依其重要性和敏感程度有不同要求",C.国际电工委员会（ICE1157-92）规定胎Ispta<1Mw/cm2 ,
1251,10,1,2,35. 超声反射率由什么决定？(2.5分),A.声阻抗直接决定 B.声吸收 C.反射面前后声阻抗之差决定 D.Doppler信号强弱 E.波长,C.反射面前后声阻抗之差决定,
