number,grade,module,week,question_stem,choice,correct_answer
223,7,1,4,"23. 脂肪变性时,苏丹Ⅲ染色可将细胞内的脂滴染成:-(2.0分)",A.蓝色 B.黑色                                        C.橘红色  D.黄色 E.棕色 ,C.橘红色 
224,7,1,4,24. 玻璃样变性不会发生于：(2.0分),A.高血压病人的细动脉壁 B.纤维化的肾小球 C.肾小球肾炎的近曲小管上皮细胞 D.陈旧的纤维瘢痕组织 E.以上都不是 ,E.以上都不是 
225,7,1,4,"25. 关于玻璃样变性, 下列哪项是错误的? (2.0分)",A.可发生于血管壁 B.可发生于结缔组织                            C.可发生于浆细胞                              D.可发生于肝细胞 E.可发生于肾远曲小管上皮细胞 ,E.可发生于肾远曲小管上皮细胞 
226,7,1,4,26. 血管壁的玻璃样变性主要发生在：(2.0分),A.静脉 B.中等动脉 C.大动脉 D.小动脉 E.细动脉 ,E.细动脉 
228,7,1,4,"28. 女, 40岁, 有数十年肾炎病史, 近来症状加重, 多尿,夜尿,查体患者呈贫血貌,高血压。此时肾小球可能出现何种病变: (2.0分)",A.弥漫性肾小球系膜细胞和基质增生 B.弥漫性肾小球内细胞增生 C.部分肾小球纤维化玻璃样变性 D.肾小球基底膜增厚 E.以上都不是 ,C.部分肾小球纤维化玻璃样变性
229,7,1,4,29. 风湿病结缔组织病变是:(2.0分),A.玻璃样变性                                  B.水样变性                                    C.脂肪变性 D.纤维素样坏死 E.嗜酸性变性  ,D.纤维素样坏死
230,7,1,4,30. 结核病坏死属于:(2.0分),A.凝固性坏死                                  B.液化性坏死 C.纤维素样坏死 D.干酪样坏死                                 E.溶解坏死,D.干酪样坏死
231,7,1,4,31. 坏死细胞结构消失，但早期组织结构的轮廓依然存在，这种改变称为：(2.0分),A.脂肪坏死 B.液化性坏死 C.干酪样坏死 D.坏疽 E.凝固性坏死,E.凝固性坏死
232,7,1,4,32. 不属于液化性坏死的有：(2.0分),A.阿米巴肝脓肿 B.心肌梗死 C.脑梗死 D.脂肪坏死 E.葡萄球菌引起的脓肿,B.心肌梗死
233,7,1,4,33. 下述哪项不符合干酪样坏死?(2.0分),A.淡黄色、质地松软 B.含有多量脂质 C.由结核杆菌引起 D.镜下呈红染、颗粒状、无结构的物质 E.可见原有组织结构轮廓 ,E.可见原有组织结构轮廓 
234,7,1,4,"34. 下列哪种坏死后果严重, 需紧急处理? (2.0分)",A.臀部气性坏疽 B.下肢干性坏疽 C.乳房脂肪坏死 D.肾局灶性梗死 E.脾梗死 ,A.臀部气性坏疽
235,7,1,4,"35. 男, 70岁, 有长期高血压病史，近几年来经常发生心前区疼痛，诊断为心绞痛。现出现跛行,左下肢第一足趾渐变黑、变硬、变干，此足趾病变可能为:(2.0分)",A.黑色素瘤 B.出血性梗死 C.液化性坏死 D.干性坏疽 E.以上都不是 ,D.干性坏疽
236,7,1,4,36. 区别组织坏死和死后自溶的可靠根据是(2.0分),A.细胞体积是否肿胀 B.细胞核是否溶解消失 C.组织轮廓存在与否 D.电镜下细胞器破坏与否 E.病变周围有无炎症反应,E.病变周围有无炎症反应
237,7,1,4,37. 坏死和坏疽的主要区别在于：(2.0分),A.静脉有无淤血 B.动脉阻塞的程度 C.有无腐败菌感染 D.发生部位 E.病变深 ,C.有无腐败菌感染
238,7,1,4,38. 关于坏死组织本身的结局，下列哪种是错误的？ (2.0分),A.分离排出 B.溶解吸收 C.化生 D.机化 E.包裹钙化,C.化生
239,7,1,4,39. 判断组织或细胞是否坏死的主要依据是：(2.0分),A.细胞核的改变 B.细胞浆的改变 C.细胞间质的改变 D.细胞膜的改变 E.细胞器的改变,A.细胞核的改变
240,7,1,4,"40. 关于坏死, 下列哪项是正确的?(2.0分)",A.坏死是指局部组织、细胞的死亡 B.坏死是指机体死亡后组织、细胞出现的形态学改变 C.坏死是指活体内局部组织、细胞死亡后出现的形态学改变 D.坏死类型之一是细胞凋亡 E.坏死是可复性改变,C.坏死是指活体内局部组织、细胞死亡后出现的形态学改变
241,7,1,4,41. 关于脂肪变性记述中，下列哪一项是正确的：(2.0分),A.慢性肝淤血脂肪变性首先位于小叶中央区 B.脂性肾病，肾小管上皮脂肪变性不明显 C.贫血时心肌脂肪变性呈弥漫分布 D.磷中毒时肝脂肪变性主要分布于小叶中央区 E.白喉外毒素不能引起心肌弥漫性脂肪变性 ,A.慢性肝淤血脂肪变性首先位于小叶中央区
242,7,1,4,42. 细胞脂肪变可用下列何种特殊染色加以证明? (2.0分),A.刚果红 B.抗酸染色 C.苏丹III D.PAS E.von Gieson染色,C.苏丹III
243,7,1,4,43. 下列哪种器官的坏死容易发生液化？　(2.0分),A.脑 B.肾 C.心 D.肝 E.脾,A.脑
244,7,1,4,44. 脂肪坏死常见于(2.0分),A.糖尿病 B.急性胰腺炎 C.风湿性心肌炎 D.丙型肝炎 E.甲状腺髓样癌,B.急性胰腺炎
245,7,1,4,45. 下列病变发生于心肌细胞的是(2.0分),A.纤维蛋白样变 B.玻璃样变 C.粘液样变 D.脂肪心 E.虎斑心,E.虎斑心
246,7,1,4,46. 形态上不属于玻璃样变者(2.0分),A.瘢痕 B.Mallory小体 C.II型糖尿病胰岛间出现均质红染物质 D.高血压细动脉硬化 E.Russell小体,C.II型糖尿病胰岛间出现均质红染物质
247,7,1,4,47. 凝固性坏死的形态特点不包括(2.0分),A.一定时间内细胞与组织轮廓保留 B.好发于肠、脑等 C.好发于心肌、脾、肾等 D.细胞核消失 E.病灶周围可有炎性充血出血反应,B.好发于肠、脑等
248,7,1,4,48. 干性坏疽与湿性坏疽的区别不包括　(2.0分),A.动脉阻塞，而静脉回流通畅 B.病变干燥，  C.多发生于同皮肤或与外界相通的内脏器官 D.腐败性改变轻 E.与周围组织有明显分界,C.多发生于同皮肤或与外界相通的内脏器官
249,7,1,4,49. 鉴别组织坏死和死后自溶的主要形态学依据(2.0分),A.是否伴有腐败菌感染 B.组织的基本轮廓是否保留 C.是否伴有炎症反应 D.细胞核消失与否 E.形态改变的范围,C.是否伴有炎症反应
250,7,1,4,50. 胆囊粘膜固有层内大量泡沫细胞聚集，称为(2.0分),A.胆固醇沉积症 B.脂肪变 C.脂性肉芽肿 D.脂斑 E.黄色瘤,A.胆固醇沉积症
901,9,1,4,1. 在细胞周期运行过程中的"分子警察"指的是  (3.0分),A.Fas     B.Bcl-2    C.p53    D.Fas-L     E.Bcl-XL,C.p53   
902,9,1,4,2. 细胞增殖周期的顺序依次是 (3.0分),A.G1→M→G2→S       B.G1→G2→M→S C.M→G1→G2→S      D.S→G1→M→G2      E.G1→S→G2→M ,E.G1→S→G2→M 
903,9,1,4,3. CDK的中文全称是 (3.0分),A.周期素     B.周期素依赖性激酶    C. 周期素依赖性激酶抑制因子    D. 泛素    E. 细胞因子 ,B.周期素依赖性激酶   
904,9,1,4,4. 与儿童的视网膜母细胞瘤的发生密切相关的基因是 (3.0分),A. P53          B. Myc         C. P16          D. RB          E.Ras,D. RB         
905,9,1,4,5. Cyclin发挥作用是作为 (3.0分),A.调节亚基  B.催化亚基  C.细胞微环境 D.检查点 E.增殖细胞核抗原（PCNA）,A.调节亚基 
906,9,1,4,6. 转化生长因子β（TGF-β）属于 (3.0分),A. 细胞周期的驱动力改变  B. 增殖抑制信号  C.增殖信号  D.肿瘤  E.CDK活性增高,B. 增殖抑制信号 
907,9,1,4,7. 属于癌基因表达产物的是 (3.0分),A.Cyclin B.P27kip1 C. CDI D. P53 E. P21kip1,A.Cyclin
908,9,1,4,8. 有关细胞调亡的特征下列哪一项是错误的  (3.0分),A.由较弱刺激触发，可见于生理或病理情况    B.DNA片段化电泳时呈"梯"状条带    C.溶酶体相对完整，局部无炎症反应    D.主动过程，耗能，无需新蛋白合成    E.胞膜皱缩内陷，分割胞浆成凋亡小体 ,D.主动过程，耗能，无需新蛋白合成   
909,9,1,4,9. 下列分子不参与死亡受体通路的有(3.0分),A.Fas          B.FADD C.caspase-8    D.caspase-3   E.AIF,E.AIF
910,9,1,4,10. 下述哪个过程属于细胞凋亡现象(3.0分),A.开水引起的皮肤烫伤           B.人胚胎过程中指/趾间隙的形成       C.毒物中毒引起的细胞死亡               D.强酸、强碱引起的损伤       E.急性缺血时细胞的死亡,B.人胚胎过程中指/趾间隙的形成      
911,9,1,4,11. 细胞凋亡过度性疾病有  (3.0分),A.老年性痴呆         B.肺癌      C.原发性肝癌         D.自身免疫病         E.疱疹病毒感染  ,A.老年性痴呆        
913,9,1,4,13. 水样变性和脂肪变性主要发生在：(3.0分),A.肺，脾，肾 B.心，肝，肾 C.肝，肾，脾 D.心，脾，肺 E.心，肝，胃,B.心，肝，肾
925,9,1,4,25. 心肌细胞不会发生(3.0分),A.萎缩 B.变性 C.坏死 D.增生 E.肥大,D.增生
926,9,1,4,26. 脂肪心和虎斑心的区别在于(3.0分),A.脂肪的质不同 B.脂肪的量不同 C.脂肪存在的部位不同 D.脂肪的质和量均不同 E. 一与脂肪代谢有关，一与脂肪代谢无关,C.脂肪存在的部位不同
927,9,1,4,27. 细胞水肿好发生于肝 心、 肾，这是由于这些脏器(3.0分),"A.容易发生缺氧 B.容易发生中毒 C.容易发生感染 D.实质细胞富于溶酶体 E.实质细胞富于线粒体,代谢旺盛","E.实质细胞富于线粒体,代谢旺盛"
928,9,1,4,28. 老年性色素为(3.0分),A.含铁血黄素 B.脂褐素 C.黑色素 D.外源性色素 E.胆红素,B.脂褐素
929,9,1,4,29. 不属于细胞、组织的适应性变化的病变是(3.0分),A.萎缩  B.发育不全  C.肥大  D.增生  E.化生,B.发育不全 
930,9,1,4,30. 下述哪种肿瘤的发生可能与化生有关(3.0分),A.皮肤鳞状细胞癌  B.肾盂移行细胞癌  C.大肠黏液腺癌  D.肝胆管上皮癌  E.肠型胃癌,E.肠型胃癌
931,9,1,4,31. 肉眼观察肉芽组织呈颗粒状是因为 (3.0分),A.大量炎细胞灶性聚集  B.新生的毛细血管灶性聚集  C.表面的毛细血管网呈袢状弯曲  D.感染、炎性水肿引起  E.成纤维细胞灶性聚集,C.表面的毛细血管网呈袢状弯曲 
932,9,1,4,32. 病理性钙化病灶肉眼观察时，下列哪项描述是正确的(3.0分),A.灰白色颗粒状  B.暗红色颗粒状  C.蓝色颗粒状  D.黑色炭末样  E.土黄色颗粒状,A.灰白色颗粒状 
933,9,1,4,"33. Metaplasia, the transformation of fully differentiated tissue into another, is not detected in:(3.0分)",A.connective tissue elements B.the gastrointestinal tract C.the central nervous system D.the biliary system E.the urothelium,C.the central nervous system
1937,12,1,4,3. 下列组织中未见发生化生者为(3.0分),A.结缔组织成分 B.胃肠道 C.中枢神经系统 D.胆道系统 E.泌尿道上皮,C.中枢神经系统
1938,12,1,4,4. 细胞缺氧、线粒体氧化磷酸化降低、细胞膜钠-钾泵功能降低，导致细胞内(3.0分),A.钠多、钾多、水多 B.钠少、钾少、水少 C.钠多、钾少、水多 D.钠多、钾少、水少 E.钠少、钾多、水多,C.钠多、钾少、水多
1939,12,1,4,5. 未见于凝固性坏死的改变是(3.0分),A.保持组织结构的轮廓 B.嗜酸性染色 C.周围有充血、出血带环绕 D.组织软化、甚至形成空洞 E.细胞核消失,D.组织软化、甚至形成空洞
1947,12,1,4,13. 区别坏死与组织死后自溶的可靠依据： (3.0分),A.溶酶体膜破坏，酶释放到胞质  B.细胞器溶解 C.周围有无炎症反应  D.细胞核固缩、碎裂、溶解 E.是否保存细胞轮廓,C.周围有无炎症反应 
1948,12,1,4,14. 下列对肺淤血组织学特点的描述中哪一项是错误的？   (3.0分),A.肺泡壁毛细血管扩张 B.肺泡腔内有水肿液 C.肺泡腔内有大量中性粒细胞和纤维素渗出 D.肺泡腔内有多少不等的红细胞 E.肺泡腔内可见心力衰竭细胞,C.肺泡腔内有大量中性粒细胞和纤维素渗出
1949,12,1,4,15. Decompression sickness usually refers to:  (3.0分),A.oxygen embolism  B.nitrogen gas embolism  C.carbon dioxide embolism  D.fat embolism  E.amniotic fluid embolism ,B.nitrogen gas embolism 
1950,12,1,4,16. 以下哪项不是梗死形成的原因和条件：  (3.0分),A.血管内血栓形成阻塞管腔 B.血管受压闭塞 C.动脉痉挛 D.无有效的侧枝循环 E.毒物的毒性作用,E.毒物的毒性作用
1951,12,1,4,17. 引起发热的炎症介质是    (3.0分),A.组胺 B.缓激肽 C.前列腺素 D.补体C3a E.阳离子蛋白,C.前列腺素
1952,12,1,4,18. 18. 下列哪一种病变不属于肉芽肿性炎    (3.0分),A.结核结节 B.树胶肿 C.风湿小体 D.伤寒小结 E.宫颈息肉,E.宫颈息肉
1953,12,1,4,19. 癌与肉瘤的最主要区别是   (3.0分),A.瘤细胞的分布方式不同 B.发生的年龄不同 C.肿瘤内血管多少不同 D.转移的途径不同 E.组织来源不同,E.组织来源不同
1954,12,1,4,20. 一个典型的恶性肿瘤的自然生长史可以分为几个阶段，依次是：  (3.0分),A.局部浸润，远处转移，一个细胞的恶性转化，转化细胞的克隆性增生 B.一个细胞的恶性转化，局部浸润，远处转移，转化细胞的克隆性增生 C.一个细胞的恶性转化，远处转移，局部浸润，转化细胞的克隆性增生 D.一个细胞的恶性转化，转化细胞的克隆性增生，局部浸润，远处转移 E.一个细胞的恶性转化，转化细胞的克隆性增生，远处转移，局部浸润,D.一个细胞的恶性转化，转化细胞的克隆性增生，局部浸润，远处转移
1955,12,1,4,21. 萎缩的心肌细胞内常可出现: (3.0分),A.橙色血质             B.脂褐素           C.疟色素       D.含铁血黄素            E.黑色素,B.脂褐素          
1956,12,1,4,22. 肉眼观察心脏标本，判断其萎缩的最主要根据是 (3.0分),A.体积小  B.颜色呈棕褐色    C.心脏外形不变，表面血管弯曲   D.心脏变形，表面血管绷直   E.心肌质地硬韧,C.心脏外形不变，表面血管弯曲  
1957,12,1,4,23. 光镜下见细胞核缩小，染色质凝聚，呈深蓝色的是(3.0分),A.核碎裂 B.核分裂 C.核固缩 D.核溶解 E.凋亡小体,C.核固缩
1958,12,1,4,24. 结缔组织、血管壁及细胞内透明变性的共同点是：(3.0分),A.发病机制相似 B.肉眼观形态相似 C.组织学形态相似 D.后果相似 E.全部都是蛋白质蓄积所致,C.组织学形态相似
1959,12,1,4,25. 下列哪种情况不属于化生？  (3.0分),A.柱状上皮变为复层鳞状上皮     B.胃粘膜上皮变为肠型上皮    C.肉芽组织变为瘢痕组织    D.纤维组织变为骨组织           E.结缔组织软骨化,C.肉芽组织变为瘢痕组织   
1960,12,1,4,26. 脂肪变性是指              (3.0分),A.脂肪细胞内出现了脂肪滴     B.组织内出现了脂肪细胞      C.正常不见或仅见少量脂滴的细胞质内出现脂滴或脂滴增多    D.脂肪组织中脂滴增多     E.器官内出现了脂肪细胞,C.正常不见或仅见少量脂滴的细胞质内出现脂滴或脂滴增多   
1961,12,1,4,27.  "虎斑心"的组织学改变是(3.0分),A.心肌纤维间大量淋巴细胞浸润          B.心肌纤维间出现脂肪沉积  C.心肌细胞中出现脂肪沉积            D.心肌细胞中出现透明小体 E.心肌细胞中出现淀粉样变性,C.心肌细胞中出现脂肪沉积           
1962,12,1,4,28. 细动脉壁的透明变性最常发于(3.0分),A.急进性高血压 B.缓进性高血压 C.急性弥漫性增生性肾小球肾炎 D.急性肾盂肾炎 E.嗜铬细胞癌,B.缓进性高血压
1963,12,1,4,29. 肝细胞内透明变性，可见(3.0分),A.Russell body B.Negri body C.Verocay body D.Aschoff body E.Mallory body,E.Mallory body
1964,12,1,4,30. 最能代表细胞坏死的三种改变是(3.0分),A.核膜破裂、核碎裂、胞质浓缩 B.核溶解、胞质少和胞膜破裂 C.核溶解、胞质浓缩和胞膜破裂 D.核固缩、核质固缩、细胞膜皱缩 E.核固缩、核碎裂、核溶解,E.核固缩、核碎裂、核溶解
1965,12,1,4,31. 凝固性坏死好发于下列器官，除外(3.0分),A.心 B.肝 C.脾 D.肾 E.脑,E.脑
1966,12,1,4,32. 干酪样坏死的本质是(3.0分),A.纤维蛋白样坏死 B.脂肪坏死 C.液化性坏死 D.彻底的凝固性坏死 E.干性坏疽,D.彻底的凝固性坏死
1967,12,1,4,33. 关于湿性坏疽的叙述，下列哪项是不正确的？(3.0分),A.常见于肠、胆囊及子宫 B.坏死组织与周围分界不清楚 C.新鲜标本有恶臭 D.常是动脉、静脉循环均有障碍 E.全身中毒症状不明显,E.全身中毒症状不明显
2318,13,1,4,21. 下列哪项不符合结缔组织玻璃样变性:(2.5分),A.常见于瘢痕组织及动脉粥样硬化的斑块等 B.病变组织灰白色、半透明 C.镜下纤维细胞明显减少 D.纤维化的肾小球 E.胶原纤维崩解融合,E.胶原纤维崩解融合
2319,13,1,4,22. 下列哪项不正确: (2.5分),A.病理性色素沉着包括含铁血黄素、脂褐素和黑色素等            B.含铁血黄素是红细胞的血红蛋白分解转化而成           C.脂褐素是细胞内未能被消化的残留体       D.脂褐素常出现在代谢旺盛的肝、心肌等细胞内            E.黑色素是一种深褐色无折光性颗粒状色素，常见于阿狄森氏病及黑色素痣等,D.脂褐素常出现在代谢旺盛的肝、心肌等细胞内           
2320,13,1,4,23. 下列哪项不属于细胞和组织的适应性反应:(2.5分),A.肥大 B.增生    C.萎缩   D.变性   E.化生,D.变性  
2321,13,1,4,24. 细胞水肿发生的机制主要是由于:(2.5分),A.内质网受损 B.高尔基体受损 C.中心体受损 D.线粒体肿大和内质网扩张断裂 E.核糖体受损,D.线粒体肿大和内质网扩张断裂
2322,13,1,4,25. 关于含铁血黄素，下列哪项是对的：(2.5分),A.棕黄色，折光性弱 B.是铁蛋白微粒集合而成的颗粒 C.在吞噬细胞内产生，故在间质中见不到 D.在脾、肝内出现，就说明该处曾有出血 E.出现全身含铁血黄素沉着时，只说明曾有大量红细胞破坏,B.是铁蛋白微粒集合而成的颗粒
2324,13,1,4,27. 营养不良性钙化和转移性钙化的主要区别点是:              (2.5分),A.发生部位不同     B.钙盐性质不同      C.染色性质不同    D.血钙浓度不同     E.对机体的影响不同,D.血钙浓度不同    
2325,13,1,4,28. 选择下列错误的一项:(2.5分),A.粘液样变性是组织间质出现粘液样物质的积聚         B.淀粉样变性是由于组织内有淀粉物沉积 C.粘液样变性常见于急性风湿病时心血管的结缔组织、动脉粥样硬化的动脉壁         D.淀粉样变性常见于骨髓瘤、结核病等 E.淀粉样变性物质在HE染色中呈淡红色,B.淀粉样变性是由于组织内有淀粉物沉积
2327,13,1,4,30. 干性坏疽的叙述，下列哪项是正确的:(2.5分),A.发生机制为动脉闭塞而静脉回流受阻 B.腐败菌感染一般较重 C.全身中毒症状重 D.坏死区与周围组织没有界线 E.多见于四肢末端,E.多见于四肢末端
2329,13,1,4,32. 下列哪种病变不属于细胞、组织的适应性变化:(2.5分),A.萎缩 B.肥大       C.发育不全       D.增生       ,C.发育不全      
2610,14,1,4,1. 肝淤血的主要病变是：   (2.5分),A.肝小叶中央静脉及肝窦扩张充血，肝细胞变性、萎缩  B.肝小叶间静脉扩张充血，肝细胞变性、萎缩   C.肝小叶间静脉扩张充血，小叶间结缔组织增生   D.肝窦扩张充血，小叶间胆管和结缔组织增生   E.肝小叶间动静脉淤血，小叶间结缔组织增生,A.肝小叶中央静脉及肝窦扩张充血，肝细胞变性、萎缩
2611,14,1,4,2. 新生的血管穿过阻塞的血栓，从而使阻塞两端血流重新恢复，称为：  (2.5分),A.血栓溶解 B.再通 C.透明变性 D.液化性坏死 E.纤维蛋白溶解,B.再通
2612,14,1,4,3. 下列有关肝淤血的叙述中，哪项不正确： (2.5分),A.中央静脉扩张 B.肝细胞脂肪变性 C.小叶间静脉扩张 D.肝细胞萎缩 E.肝窦扩张 ,C.小叶间静脉扩张
2613,14,1,4,4. 下列肺淤血的叙述中，哪项是错误的？(2.5分),A.肺泡壁毛细血管扩张 B.肺泡腔内中性白细胞和纤维素渗出 C.肺泡腔内有水肿液 D.可发生漏出性出血 E.常可见心力衰竭细胞,B.肺泡腔内中性白细胞和纤维素渗出
2614,14,1,4,5. 心衰细胞见于  (2.5分),A.左心衰时肺泡腔内  B.右心衰时肺泡腔内  C.肺水肿时肺泡腔内  D.肝淤血时肝脏内  E.脾淤血时脾脏内  ,A.左心衰时肺泡腔内
2615,14,1,4,6. 脾、肾梗死灶肉眼检查的主要特点为(2.5分),A.多呈地图状、灰白色、界限清楚 B.多呈不规则形、暗红色、界限不清 C.多呈楔形、暗红色、界限不清 D.多呈地图状、暗红色、界限不清 E.多呈楔形、灰白色、界限清楚,E.多呈楔形、灰白色、界限清楚
2616,14,1,4,7. 风湿性心脏病二尖瓣上的疣状赘生物是   (2.5分),A.白色血栓 B.红色血栓 C.混合血栓 D.透明血栓 E.血凝块  ,A.白色血栓
2617,14,1,4,8. 混合血栓是由下列哪些成分组成的？(2.5分),A.血小板梁及其之间的纤维蛋白网，网眼内网罗大量红细胞 B.纤维蛋白、红细胞、白细胞、血小板 C.纤维蛋白和红细胞   D.血栓头及尾 E.血小板和白细胞,A.血小板梁及其之间的纤维蛋白网，网眼内网罗大量红细胞
2619,14,1,4,10. 下列哪一种不是渗出性炎症?(2.5分),A.卡他性炎症 B.乙型脑炎 C.流行性脑膜炎 D.肾盂肾炎 E.脓肿,B.乙型脑炎
2624,14,1,4,15. 下列哪一项不属于渗出性炎症?(2.5分),A.卡他性炎症 B.阿米巴肝脓肿 C.假膜性炎 D.绒毛心 E.大叶性肺炎,B.阿米巴肝脓肿
2626,14,1,4,17. 下列关于炎症描述，哪一项不正确?(2.5分),A.嗜中性粒细胞浸润通常是急性炎症的标志 B.慢性炎症细胞主要是淋巴细胞、巨噬细胞和浆细胞 C.淋巴细胞浸润并非总是慢性炎症的特征 D.嗜中性粒细胞游出后必然引起局部单核细胞增多 E.白细胞渗出只见于急性炎症早期,E.白细胞渗出只见于急性炎症早期
2627,14,1,4,18. 炎症的渗出主要由于：(2.5分),A.血液动力学改变 B.血管壁通透性改变 C.小静脉血栓形成 D.循环血量增加 E.组织间液比重降低,B.血管壁通透性改变
2628,14,1,4,19. 巨噬细胞、纤维母细胞和淋巴细胞最常见于：(2.5分),A.急性炎症 B.肉芽组织 C.伤口愈合处 D.慢性炎症     E.化脓性炎症,D.慢性炎症
2629,14,1,4,20. 以变质为主的炎症，其实质细胞的主要变化是：(2.5分),A.增生和再生 B.萎缩和变性 C.变性和坏死 D.增生和变性     E.坏死和萎缩,C.变性和坏死
2630,14,1,4,21. 关于血管壁玻璃样变，错误的描述是(2.5分),A.常见于高血压 B.常见于肾、脑、脾、视网膜细动脉  C.血管壁变硬、管腔狭窄  D.可引起组织缺血  E.玻璃样物质由免疫球蛋白和基底膜样物构成,E.玻璃样物质由免疫球蛋白和基底膜样物构成
2632,14,1,4,23. 下列不符合液化性坏死的描述是：(2.5分),A.局部蛋白质含量少  B.局部蛋白酶丰富  C.局部脂质含量多  D.局部化脓  E.脂肪坏死不属于液化性坏死 ,E.脂肪坏死不属于液化性坏死 
2636,14,1,4,27. 干性坏疽常发生于：(2.5分),A.足  B.肠道  C.肺  D.大脑  E.脾脏 ,A.足
2637,14,1,4,28. 与细胞水肿的发生密切的细胞器是：(2.5分),A.溶酶体  B.线粒体  C.高尔基体  D.内质网  E.核糖体 ,B.线粒体
2639,14,1,4,30. 下列符合干性坏疽的描述是： (2.5分),A.坏死合并腐败菌感染 B.常伴有全身中毒症状  C.局部肿胀明显   D.坏死组织与健康组织之间界限不清楚  E.坏死部位动脉和静脉血流均受,A.坏死合并腐败菌感染
