number,grade,module,week,question_stem,choice,answer
220,6,7,6,48. 关于输尿管结石，下述正确的是：(2.0分),A.静脉肾盂造影无改变  B.平片常不显影 C.应做ＣＴ增强扫描 D.静脉肾盂造影结石以上输尿管可扩张  E.血尿比肾结石少见,D.静脉肾盂造影结石以上输尿管可扩张 
221,6,7,6,49. 肾结核平片征象是：(2.0分),A.肾区可见不规则钙化灶 B.肾影不清 C.肾影倒"八字"形   D.病侧肾下垂" E.肾外形不光整,A.肾区可见不规则钙化灶
222,6,7,6,50. Which gene's mutations account for approximately 85% of the polycystic kidney disease cases in clinically well characterized cohorts:(2.0分),A.PKD3 B.PKD2 C.PKD1 D.MHC,C.PKD1
481,7,7,6,"1. Polycystic kidney disease is a significant cause of renal failure that presents from early infancy to adulthood. Early-onset cases tend to affect one family member or siblings, whereas adult-onset cases often show a vertical pattern in the pedigree. Which of the following offers the best explanation of these facts?(2.5分)",A.Pleiotropy B.Allelic heterogeneity C.Locus heterogeneity D.Multifactorial inheritance E.Variable expressivity,C.Locus heterogeneity
482,7,7,6,2.  "The totality of exons in a genome" indicates：(2.5分),A.whole genome B.exome C.mutatome D.variome E.epigenome,B.exome
483,7,7,6,3. Association Studies(2.5分),A.make use of SNP mapping B.relate sequence patterns to the probability of developing a particular disorder. C.are more powerful than heritability studies. D.All of the above are true in regard to association studies.,D.All of the above are true in regard to association studies.
484,7,7,6,4. Pseudogenes code for:(2.5分),A.genes not having exons B.genes not having introns C.genes not using the nearly universal genetic code D.non-functional proteins E.genes expressed only in some tissues but not others,D.non-functional proteins
485,7,7,6,5. 导致输尿管梗阻最常见的原因 (2.5分),A.炎症  B. 肿瘤  C.结核  D.结石 E. 先天性肾盂输尿管连接部狭窄,D.结石
486,7,7,6,6. 上尿路最常见的结石为 (2.5分),A.草酸钙结石 B.尿酸结石  C.黄嘌呤结石 D.磷酸盐结石  E.胱氨酸结石,A.草酸钙结石
487,7,7,6,7. 最常见X线不显影的结石为(2.5分),A.草酸钙结石  B.尿酸结石  C.黄嘌呤结石 D.磷酸盐结石  E.胱氨酸结石,B.尿酸结石 
488,7,7,6,8. 小儿先天性上尿路梗阻最常发生的部位在 (2.5分),A.输尿管膀胱入口处 B.输尿管下段 C.输尿管上段  D. 输尿管中段 E. 输尿管肾盂连接部,E. 输尿管肾盂连接部
489,7,7,6,9. BPH的描述哪项不正确 B(2.5分),A.BPH随年龄增高而发病率增加 B.BPH行前列腺电切除后不会再发生前列腺癌 C.BPH多发生于移行区 D.BPH长期存在会导致膀胱逼尿肌功能障碍 E.BPH发生与性激素代谢有关,B.BPH行前列腺电切除后不会再发生前列腺癌
490,7,7,6,10. 前列腺增生合并膀胱结石的治疗首选 (2.5分),A.单纯经尿道膀胱结石碎石取石  B.ESWL  C. 膀胱切开取石  D. 经尿道膀胱结石碎石取石及TURP  E. 药物溶石和排石治疗,D. 经尿道膀胱结石碎石取石及TURP 
491,7,7,6,11. 对泌尿系阳性结石，应首选何种检查为宜？ (2.5分),A.腹部平片 B.ＣＴ C.腹膜后充气造影 D.逆行肾盂造影   E.静脉肾盂造影,A.腹部平片
492,7,7,6,12. 下列成人最常见的肾肿瘤是(2.5分),A.肾腺癌 B.肾盂乳头状瘤 C.肾母细胞瘤 D.神经母细胞瘤 E.肾盂乳头状癌,A.肾腺癌
493,7,7,6,13. 关于多囊肾的叙述，哪项是正确的？(2.5分),A.病变多为单侧性 B.病变多累及全肾 C.肾外形常无改变  D.肾盂肾盏常有侵蚀破坏 E.肾功能较差，静脉肾盂造影不能显影,B.病变多累及全肾
494,7,7,6,14. 关于输尿管结石，下述正确的是：(2.5分),A.平片常不显影 B.应做ＣＴ增强扫描 C.静脉肾盂造影结石以上输尿管可扩张  D.静脉肾盂造影无改变       Ｅ、血尿比肾结石少见,C.静脉肾盂造影结石以上输尿管可扩张 
495,7,7,6,15. 下列关于肾自截的叙述哪项不妥(2.5分),A.肾大部或全肾钙化  B.全肾为干酪坏死物质和空洞所替代   C.静脉肾盂造影可见肾盏破坏和脓腔形成 D.肾功能完全丧失 E.静脉尿路造影不显影,C.静脉肾盂造影可见肾盏破坏和脓腔形成
496,7,7,6,16. 青年男性，无自觉不适，CT平扫示双侧肾锥体对称分布，毛刷样钙化，尿检无明显异常，应首先考虑：(2.5分),A.双侧髓质海绵肾 B.双肾结石 C.双肾结核 D.马蹄肾 E.双侧肾癌,A.双侧髓质海绵肾
497,7,7,6,17. 肾血管性病变是指(2.5分),A.肾动脉狭窄 B.肾动脉栓塞  C.肾静脉栓塞   D.胡桃夹征 E.以上都是  ,E.以上都是  
498,7,7,6,18.  "小膀胱"征(膀胱挛缩)多见于(2.5分),A.膀胱结核  B.膀胱结石 C.膀胱息肉  D.膀胱移行上皮癌 E.急性膀胱炎  ,A.膀胱结核 
499,7,7,6,19. 能使肾小球有效率过滤下降的主要因素是： (2.5分),A.滤过面积下降 B.出球小动脉痉挛 C.入球小动脉舒张 D.血浆胶体渗透压升高 E.肾血流量下降,E.肾血流量下降
500,7,7,6,20. 肾远曲小管功能障碍会出现： (2.5分),A.肾性糖尿 B.肾性氨基酸尿 C.高渗尿 D.肾小管性酸中毒 E.蛋白尿,D.肾小管性酸中毒
501,7,7,6,21. 急性肾功能衰竭的主要发生机制是： (2.5分),A.肾小球滤过功能障碍 B.原尿漏回间质 C.肾小管阻塞 D.肾组织细胞肿胀 E.肾内广泛微血栓形成,A.肾小球滤过功能障碍
502,7,7,6,22. 持续性肾缺血和肾毒素作用引起的急性肾功能衰竭，其肾脏损害的突出表是： (2.5分),A.肾脏血液循环障碍 B.肾小球病变 C.肾间质纤维化 D.肾小管坏死 E.肾小管阻塞,D.肾小管坏死
503,7,7,6,23. 判断少尿的标准是尿量低于：(2.5分),A.100ml/24h B.400ml/24h C.500ml/24h D.1000ml/24h E.1500ml/24h,B.400ml/24h
504,7,7,6,24. 慢性肾功能不全患者意识丧失、心跳骤停而死，其死亡原因可能是(2.5分),A.代谢性酸中毒  B.低钙血症 C.心力衰竭 D.高钾血症  E.尿毒症脑病 ,D.高钾血症 
505,7,7,6,25. 肾功能不全的健存肾单位学说是(2.5分),A. 全部肾单位普遍受损 B.肾单位一部分受损，再生一部分肾单位代偿 C.当肾单位破坏至一定数量，残存的肾单位代偿 D.肾单位受损到一定数量后，又可以再生恢复功能 E.每个肾单位中，一部分受损后，其余部分代偿。,C.当肾单位破坏至一定数量，残存的肾单位代偿
506,7,7,6,26. 下列哪一项说法是错误的(2.5分),A.糖尿病肾病引起的尿毒症患者在肌酐清除率15ml/min左右就要开始透析。 B.糖尿病患者在肾衰时胰岛素的用量往往会减少。 C.尿毒症患者尿量大于500ml，一般不会发生高钾血症。 D.尿毒症患者出现PTH升高是由于高钙血症引起的。 E.肾性贫血是正细胞正常色素性贫血。,D.尿毒症患者出现PTH升高是由于高钙血症引起的。
507,7,7,6,27. 关于失衡综合征下面哪项是错误的？(2.5分),A.其发生的主要原因是血透导致血渗透压和脑脊液压不平衡引起脑水肿 B.发生血透过程中，透析结束后不会发生 C.常表现头痛、恶心等颅内压增高症状 D.50％葡萄糖液注射常有效 E.多发生在初次透析时,B.发生血透过程中，透析结束后不会发生
508,7,7,6,28. 慢性肾功能不全时引起继发性甲状旁腺功能亢进的原因是(2.5分),A.血钾升高 B.血肌酐升高  C.血磷升高、血钙降低 D.BUN升高 E.二氧化碳结合力升高,C.血磷升高、血钙降低
509,7,7,6,29. 遗传性肾肿瘤常见于下列哪些疾病(2.5分),A.Von Hipple-Lindau综合征 B. Birt-Hogg-Duke综合征 C.遗传性乳头状肾癌 D.以上都是,D.以上都是
510,7,7,6,30. 下列哪项不属于膀胱癌的危险因素(2.5分),A.吸烟 B. 职业暴露（如燃料、橡胶及皮革等） C.长期使用阿斯匹林 D. 埃及血吸虫感染,C.长期使用阿斯匹林
511,7,7,6,31. 以下哪种病理类型在肾细胞癌中最不常见(2.5分),A.透明细胞癌 B.乳头状癌 C.鳞状细胞癌 D.嫌色细胞癌,C.鳞状细胞癌
512,7,7,6,32. 下列哪项不是肾癌保留肾单位手术的适应症(2.5分),A. 双侧肾癌 B.孤立肾 C. 肿瘤位于肾脏一极 D.肿瘤大小>4cm,D.肿瘤大小>4cm
513,7,7,6,33. 78岁男性，因"无痛性肉眼血尿3天"入院。入院后查B超提示：膀胱左侧比多发占位，为进一步明确诊断，应行何检查(2.5分),A.CT B. MRI C. 经直肠B超 D.膀胱镜及镜下活检,D.膀胱镜及镜下活检
514,7,7,6,34. 泌尿系损伤主要的临床表现是 (2.5分),A.无尿和肾功能不全 B.出血和尿外渗 C. 排尿困难 D.疼痛和肿块 E.以上都不是,B.出血和尿外渗
515,7,7,6,35. 下列哪项不是尿道损伤的常见并发症(2.5分),A.尿道狭窄 B.尿失禁 C.勃起功能障碍 D. 尿道直肠瘘  E.以上都是,B.尿失禁
516,7,7,6,36. 区分急性肾损伤和慢性肾衰竭最有意义的是：(2.5分),A.蛋白尿程度 B.血尿程度 C.氮质血症程度 D.双肾体积,D.双肾体积
517,7,7,6,37. 急性肾损伤患者选择腹膜透析的理由不包括：(2.5分),A.有出血倾向 B.血液动力学不稳定 C.儿童患者 D.横膈疝患者,D.横膈疝患者
518,7,7,6,38. 急性肾衰竭时，下列哪种情况需紧急血液透析(2.5分),A.血肌酐达353.6umol／L B.动脉血气分析pH 7.30 C.血红蛋白＜11g／dl D.急性肺水肿,D.急性肺水肿
519,7,7,6,39. 肾前性急性肾损伤尿沉渣镜检常见管型   (2.5分),A.红细胞管型   B.白细胞管型   C.颗粒管型  D.透明管型 ,D.透明管型 
520,7,7,6,40. 关于肾细胞癌下列哪项描述是正确的(2.5分),A.常在早期即有临床症状 B. 大部分患者因血尿、腰痛和腰部肿块三联症被发现 C.典型组织病理学形态为透明细胞癌 D. 转移少见，发生时也只局限于肾周 E. 肉眼上肿瘤切面实性，灰白色，含少量脂质,C.典型组织病理学形态为透明细胞癌
796,8,7,6,1. 下列哪项符合AKI诊断标准：(2.5分),"A.72h血肌酐升高≥26.4umol/l B.48h 血肌酐升高≥26.4umol/l C.尿量＜0.5ml/kg/h,持续4小时以上 D.48h 血肌酐升高较基数值≥30%",B.48h 血肌酐升高≥26.4umol/l
797,8,7,6,2. 区分急性肾损伤和慢性肾衰竭最有意义的是：(2.5分),A.蛋白尿程度 B.血尿程度 C.氮质血症程度 D.双肾体积,D.双肾体积
798,8,7,6,3. 非少尿型急性肾损伤，尿量为 (2.5分),A.大于100ml／天 B.大于400ml／天 C.大于1000ml／天 D.小于400ml／天,B.大于400ml／天
799,8,7,6,4. 下列哪项指标提示患者是肾性急性肾损伤(2.5分),A.尿钠浓度<20 B.尿渗透压>500 C.滤过钠分数>1 D.尿比重>1．018,C.滤过钠分数>1
800,8,7,6,5. 急性肾衰竭时，下列哪种情况需紧急血液透析(2.5分),A.血肌酐达353.6umol／L B.动脉血气分析pH 7.30 C.血红蛋白＜11g／dl D.急性肺水肿,D.急性肺水肿
801,8,7,6,6. 女性，56岁，因盆腔肿瘤切除术后12小时出现少尿（10ml／小时），血尿素氮15mmol／L，肌酐178μmol／L，尿比重1.030，尿钠13mmol／L，尿量减少最可能的原因是(2.5分),A.急性间质性肾炎 B.肾前性急性肾损伤 C.肾性急性肾损伤 D.慢性肾衰竭,B.肾前性急性肾损伤
802,8,7,6,7. 肾前性急性肾损伤尿沉渣镜检常见管型  (2.5分),A.红细胞管型   B.白细胞管型   C.颗粒管型  D.透明管型 ,D.透明管型 
803,8,7,6,"8. Polycystic kidney disease is a significant cause of renal failure that presents from early infancy to adulthood. Early-onset cases tend to affect one family member or siblings, whereas adult-onset cases often show a vertical pattern in the pedigree. Which of the following offers the best explanation of these facts?(2.5分)",A.Pleiotropy B.Allelic heterogeneity C.Locus heterogeneity D.Multifactorial inheritance E.Variable expressivity,C.Locus heterogeneity
804,8,7,6,9. The totality of exons in a genome indicates：(2.5分),A.whole genome B.exome C.mutatome D.variome E.epigenome,B.exome
805,8,7,6,10. Association Studies(2.5分),A.make use of SNP mapping B.relate sequence patterns to the probability of developing a particular disorder. C.are more powerful than heritability studies. D.All of the above are true in regard to association studies.,D.All of the above are true in regard to association studies.
806,8,7,6,11. Which is of the following is appropriate for a patient with renal failure?(2.5分),A.High-carbohydrate diet B.High-protein diet  C.Low-fat diet D.High-fiber diet  E.Free water of at least 3 L/d,A.High-carbohydrate diet
807,8,7,6,12. 导致输尿管梗阻最常见的原因 D(2.5分),A.炎症  B.肿瘤 C. 结核  D.结石  E.先天性肾盂输尿管连接部狭窄,D.结石 
808,8,7,6,13. 最常见X线不显影的结石为B(2.5分),A.草酸钙结石 B.尿酸结石  C.黄嘌呤结石 D.磷酸盐结石  E.胱氨酸结石,B.尿酸结石 
809,8,7,6,14. 主要特点是长期尿路感染引起的结石为(2.5分),A.草酸钙结石  B.尿酸结石  C. 黄嘌呤结石 D.磷酸盐结石  E.胱氨酸结石,D.磷酸盐结石 
810,8,7,6,15. 目前对鹿角状结石的首选治疗方法是(2.5分),A.ESWL  B.经皮肾镜碎石术  C.输尿管镜碎石术 D.肾盂切开取石术 E.患者切除术,B.经皮肾镜碎石术 
811,8,7,6,16. 小儿先天性上尿路梗阻最常发生的部位在 (2.5分),A.输尿管膀胱入口处  B.输尿管下段  C.输尿管上段  D.输尿管中段 E.输尿管肾盂连接部,E.输尿管肾盂连接部
812,8,7,6,17. BPH的描述哪项不正确 (2.5分),A.BPH随年龄增高而发病率增加 B.BPH行前列腺电切除后不会再发生前列腺癌 C.BPH多发生于移行区 D.BPH长期存在会导致膀胱逼尿肌功能障碍 E.BPH发生与性激素代谢有关,B.BPH行前列腺电切除后不会再发生前列腺癌
813,8,7,6,18. 前列腺增生的并发症不包括(2.5分),A.膀胱结石  B. 腹股沟疝  C.镜下血尿  D.双肾积水 E. 睾丸鞘膜积液,E. 睾丸鞘膜积液
814,8,7,6,19. 下列儿童最常见的肾肿瘤是(2.5分),A.肾腺癌 B.肾盂乳头状瘤 C.肾母细胞瘤 D.神经母细胞瘤 E.肾盂乳头状癌,C.肾母细胞瘤
815,8,7,6,20. 肾呈分叶状增大， 肾盂造影造影剂排空延迟的应考虑：(2.5分),A.马蹄肾 B.肾盂癌 C.肾结核        D.肾囊肿 E.肾积水,E.肾积水
816,8,7,6,21. 关于多囊肾的叙述，哪项是正确的？(2.5分),A.病变多为单侧性  B.肾盂肾盏常有侵蚀破坏 C.肾外形常无改变  D.病变多累及全肾 E.肾功能较差，静脉肾盂造影不能显影,D.病变多累及全肾
817,8,7,6,22. 典型输尿管结核肾盂造影表现：(2.5分),A.输尿管内充盈缺损 B.输尿管变细         C.输尿管变粗 D.输尿管无改变 E.输尿管"串珠状"改变,E.输尿管"串珠状"改变
818,8,7,6,23. 膀胱结核肾盂造影表现为：(2.5分),A.膀胱挛缩、变小、变形、轮廓不清 B.膀胱内壁凹凸不平，见充盈缺损 C.膀胱扩大 D.膀胱密度不均 E.无改变,A.膀胱挛缩、变小、变形、轮廓不清
819,8,7,6,24. 青年男性，无自觉不适，CT平扫示双侧肾锥体对称分布，毛刷样钙化，尿检无明显异常，应首先考虑： (2.5分),A.双肾结核 B.双肾结石 C.双侧髓质海绵肾 D.马蹄肾 E.双侧肾癌,C.双侧髓质海绵肾
820,8,7,6,25. 下列肾脏疾病中哪项不属于先天性异常(2.5分),A.重复肾 B.肾发育不良 C.马蹄肾 D.肾结石    E.异位肾     ,D.肾结石   
821,8,7,6,26. 女，40岁，突发腰背部疼痛3小时，CT图提示右肾中下部皮质外突混杂密度肿块，边界清楚，可见脂质密度。首先考虑诊断是： (2.5分),A.肾细胞癌 B.肾母细胞瘤 C.肾血管平滑肌脂肪瘤 D.肾盂癌 E.肾腺瘤,C.肾血管平滑肌脂肪瘤
822,8,7,6,27. 能使肾小球有效率过滤下降的主要因素是： (2.5分),A.滤过面积下降 B.出球小动脉痉挛 C.入球小动脉舒张 D.血浆胶体渗透压升高 E.肾血流量下降,E.肾血流量下降
823,8,7,6,28. 肾近曲小管功能障碍会出现： (2.5分),A.等渗尿 B.低渗尿 C.肾性糖尿 D.肾性尿崩症 E.多尿,C.肾性糖尿
824,8,7,6,29. 急性肾功能衰竭的主要发生机制是： (2.5分),A.肾小球滤过功能障碍 B.原尿漏回间质 C.肾小管阻塞 D.肾组织细胞肿胀 E.肾内广泛微血栓形成,A.肾小球滤过功能障碍
825,8,7,6,30. 急性器质性肾功能衰竭患者最严重的并发症是： (2.5分),A.血钠下降 B.肺水肿 C.血钙下降 D.血钾下降 E.血钾升高,E.血钾升高
826,8,7,6,31. 持续性肾缺血和肾毒素作用引起的急性肾功能衰竭，其肾脏损害的突出表是： (2.5分),A.肾脏血液循环障碍 B.肾小球病变 C.肾间质纤维化 D.肾小管坏死 E.肾小管阻塞,D.肾小管坏死
827,8,7,6,32. 判断少尿的标准是尿量低于(2.5分),A.100ml/24h B.400ml/24h C.500ml/24h D.1000ml/24h E.1500ml/24h,B.400ml/24h
828,8,7,6,33. 慢性肾功能不全患者意识丧失、心跳骤停而死，其死亡原因可能是(2.5分),A.代谢性酸中毒  B.低钙血症 C.心力衰竭 D.高钾血症  E.尿毒症脑病 ,D.高钾血症 
